RXCUI_IN,RxNormName,ICD9,IndicationName,MENTIONEDBYRESOURCES,HIGHPRECISIONSUBSET,POSSIBLE_LABEL_USE
44,Mesna,599.7,Hematuria,1,0,0
44,Mesna,599.7,Hematuria; unspecified,1,0,0
44,Mesna,791.9,Other nonspecific findings on examination of urine,1,0,0
44,Mesna,799.89,Other ill-defined conditions,1,0,0
44,Mesna,459,Hemorrhage NOS,1,1,0
44,Mesna,595,Cystitis,2,1,1
44,Mesna,595.9,Cystitis NOS,3,1,1
44,Mesna,977.9,Poisoning by unspecified drug or medicinal substance,1,1,0
73,Docosahexaenoate,153.9,Malignant neoplasm of colon; unspecified,1,0,0
73,Docosahexaenoate,185,Malignant neoplasm of prostate,1,0,0
73,Docosahexaenoate,260-269.99,,1,0,0
73,Docosahexaenoate,269.9,Unspecified nutritional deficiency,1,0,0
73,Docosahexaenoate,279.49,Autoimmune disease; not elsewhere classified (ADDED),1,0,0
73,Docosahexaenoate,290,Dementias,1,0,0
73,Docosahexaenoate,290.8,Other specified senile psychotic conditions,1,0,0
73,Docosahexaenoate,294.2,,1,0,0
73,Docosahexaenoate,294.2,Dementia; unspecified; without behavioral disturbance,1,0,0
73,Docosahexaenoate,296.99,Other specified episodic mood disorder,1,0,0
73,Docosahexaenoate,314,Hyperkinetic syndrome of childhood,1,0,0
73,Docosahexaenoate,314.01,Attention deficit disorder of childhood with hyperactivity,1,0,0
73,Docosahexaenoate,314.9,Unspecified hyperkinetic syndrome of childhood,1,0,0
73,Docosahexaenoate,331,Alzheimer's disease,1,0,0
73,Docosahexaenoate,332,Parkinson's disease,1,0,0
73,Docosahexaenoate,332,Paralysis agitans,1,0,0
73,Docosahexaenoate,362.74,Pigmentary retinal dystrophy,1,0,0
73,Docosahexaenoate,429.9,Heart disease NOS,1,0,0
73,Docosahexaenoate,434.91,Cerebral artery occlusion; unspecified; with cerebral infarction,1,0,0
73,Docosahexaenoate,460,Acute nasopharyngitis (common cold),1,0,0
73,Docosahexaenoate,69.92,ARTIFICIAL INSEMINATION,1,0,0
73,Docosahexaenoate,745,Common truncus,1,0,0
73,Docosahexaenoate,765.1,Other preterm infants; unspecified [weight],1,0,0
73,Docosahexaenoate,780.97,Altered mental status,1,0,0
73,Docosahexaenoate,780.99,Other general symptoms,1,0,0
73,Docosahexaenoate,781.2,Abnormality of gait,1,0,0
73,Docosahexaenoate,797,Senility without mention of psychosis,1,0,0
73,Docosahexaenoate,799.21,Nervousness (ADDED),1,0,0
73,Docosahexaenoate,88.7,Diagnostic ultrasound,1,0,0
73,Docosahexaenoate,959.01,Head injury NOS,1,0,0
73,Docosahexaenoate,994.2,Effects of hunger,1,0,0
73,Docosahexaenoate,995.2,Unspecified adverse effect of unspecified drug; medicinal and biological substance,1,0,0
73,Docosahexaenoate,V22.2,Pregnant state; incidental,1,0,0
73,Docosahexaenoate,V25.41,Encounter for surveillance of contraceptive pill,1,0,0
73,Docosahexaenoate,V27.9,Mother with unspecified outcome of delivery,1,0,0
74,4-Aminobenzoic Acid,239.2,Neoplasm of unspecified nature of bone; soft tissue; and skin,1,0,0
74,4-Aminobenzoic Acid,266.2,Other B-complex deficiencies,1,0,0
74,4-Aminobenzoic Acid,338-338.99,,1,0,1
74,4-Aminobenzoic Acid,528.2,Oral aphthae,1,0,1
74,4-Aminobenzoic Acid,528.9,Other and unspecified diseases of the oral soft tissues,1,0,1
74,4-Aminobenzoic Acid,564.1,Irritable bowel syndrome,1,0,0
74,4-Aminobenzoic Acid,569.9,Unspecified disorder of intestine,1,0,0
74,4-Aminobenzoic Acid,607.85,Peyronie's disease,1,0,0
74,4-Aminobenzoic Acid,692.9,Contact dermatitis and other eczema; unspecified cause,1,0,0
74,4-Aminobenzoic Acid,704.3,Variations in hair color,1,0,0
74,4-Aminobenzoic Acid,709.01,Vitiligo,1,0,0
74,4-Aminobenzoic Acid,709.2,Scar conditions and fibrosis of skin,1,0,0
74,4-Aminobenzoic Acid,780.79,Other malaise and fatigue,1,0,0
74,4-Aminobenzoic Acid,780.96,Generalized pain,1,0,1
74,4-Aminobenzoic Acid,796.4,Other abnormal clinical findings,1,0,0
74,4-Aminobenzoic Acid,799.22,Irritability (ADDED),1,0,0
74,4-Aminobenzoic Acid,799.89,Other ill-defined conditions,1,0,0
74,4-Aminobenzoic Acid,995.3,Allergy unspecified not elsewhere classified,1,0,0
74,4-Aminobenzoic Acid,692.7,Unspecified dermatitis due to sun,1,1,0
74,4-Aminobenzoic Acid,692.71,Sunburn,1,1,0
74,4-Aminobenzoic Acid,694.4,Pemphigus,1,1,0
74,4-Aminobenzoic Acid,710.1,Systemic sclerosis,1,1,0
74,4-Aminobenzoic Acid,710.3,Dermatomyositis,1,1,0
90,Eicosapentaenoic Acid,70.7,Unspecified viral hepatitis C,1,0,0
90,Eicosapentaenoic Acid,70.7,Unspecified viral hepatitis C without hepatic coma,1,0,0
90,Eicosapentaenoic Acid,70.9,Unspecified viral hepatitis without mention of hepatic coma,1,0,0
90,Eicosapentaenoic Acid,204,Acute lymphoid leukemia without mention of having achieved remission,1,0,0
90,Eicosapentaenoic Acid,250,Diabetes mellitus,1,0,0
90,Eicosapentaenoic Acid,250,type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type; not stated as uncontrolled; without mention of complication,1,0,0
90,Eicosapentaenoic Acid,260-269.99,,1,0,0
90,Eicosapentaenoic Acid,269.9,Unspecified nutritional deficiency,1,0,0
90,Eicosapentaenoic Acid,272.4,Other and unspecified hyperlipidemia,1,0,0
90,Eicosapentaenoic Acid,290-299.99,,1,0,0
90,Eicosapentaenoic Acid,295,Schizophrenic disorders,1,0,0
90,Eicosapentaenoic Acid,295.9,Unspecified schizophrenia,1,0,0
90,Eicosapentaenoic Acid,295.9,Unspecified schizophrenia; unspecified state,1,0,0
90,Eicosapentaenoic Acid,296.2,Major depressive disorder; single episode; unspecified degree,1,0,0
90,Eicosapentaenoic Acid,296.5,Bipolar affective disorder; depressed; unspecified degree,1,0,0
90,Eicosapentaenoic Acid,298.8,Other and unspecified reactive psychosis,1,0,0
90,Eicosapentaenoic Acid,298.9,Unspecified psychosis,1,0,0
90,Eicosapentaenoic Acid,300.9,Unspecified nonpsychotic mental disorder,1,0,0
90,Eicosapentaenoic Acid,307.1,Anorexia nervosa,1,0,0
90,Eicosapentaenoic Acid,311,Depressive disorder NEC,1,0,0
90,Eicosapentaenoic Acid,410.9,Acute myocardial infarction; unspecified site; episode of care unspecified,1,0,0
90,Eicosapentaenoic Acid,413,Angina pectoris,1,0,0
90,Eicosapentaenoic Acid,413.9,Other and unspecified angina pectoris,1,0,0
90,Eicosapentaenoic Acid,414,Coronary atherosclerosis,1,0,0
90,Eicosapentaenoic Acid,414,Coronary atherosclerosis of unspecified type of vessel; native or graft,1,0,0
90,Eicosapentaenoic Acid,556,Ulcerative colitis,1,0,0
90,Eicosapentaenoic Acid,556.8,Other ulcerative colitis,1,0,0
90,Eicosapentaenoic Acid,556.9,Ulcerative colitis; unspecified,1,0,0
90,Eicosapentaenoic Acid,571.8,Other chronic nonalcoholic liver disease,1,0,0
90,Eicosapentaenoic Acid,627.2,Symptomatic menopausal or female climacteric states,1,0,0
90,Eicosapentaenoic Acid,728.85,Spasm of muscle,1,0,0
90,Eicosapentaenoic Acid,780.79,Other malaise and fatigue,1,0,0
90,Eicosapentaenoic Acid,782.62,Flushing,1,0,0
90,Eicosapentaenoic Acid,786.5,Unspecified chest pain,1,0,0
90,Eicosapentaenoic Acid,796.4,Other abnormal clinical findings,1,0,0
90,Eicosapentaenoic Acid,797,Senility without mention of psychosis,1,0,0
90,Eicosapentaenoic Acid,799.9,Other unknown and unspecified cause of morbidity or mortality,1,0,0
90,Eicosapentaenoic Acid,88.7,Diagnostic ultrasound,1,0,0
90,Eicosapentaenoic Acid,994.2,Effects of hunger,1,0,0
90,Eicosapentaenoic Acid,997.1,Cardiac complications; not elsewhere classified,1,0,0
90,Eicosapentaenoic Acid,V49.81,Asymptomatic postmenopausal status (age-related) (natural),1,0,0
94,5-Hydroxytryptophan,278,Obesity NOS,1,0,0
94,5-Hydroxytryptophan,296.2,Major depressive disorder; single episode; unspecified degree,1,0,0
94,5-Hydroxytryptophan,300,Anxiety state unspecified,1,0,0
94,5-Hydroxytryptophan,307.51,Bulimia nervosa,1,0,0
94,5-Hydroxytryptophan,307.59,Eating disorder NEC,1,0,0
94,5-Hydroxytryptophan,334,Friedreich's ataxia,1,0,0
94,5-Hydroxytryptophan,729.1,Myalgia and myositis unspecified,1,0,0
94,5-Hydroxytryptophan,780.52,Insomnia; unspecified,1,0,0
99,6-Aminocaproic Acid,00-99.99,,1,0,0
99,6-Aminocaproic Acid,140-239.99,,1,0,1
99,6-Aminocaproic Acid,239,Neoplasms of unspecified nature,1,0,1
99,6-Aminocaproic Acid,239-239.99,,1,0,1
99,6-Aminocaproic Acid,280-289.99,,1,0,1
99,6-Aminocaproic Acid,284.9,Aplastic anemia unspecified,1,0,1
99,6-Aminocaproic Acid,285.9,Anemia unspecified,1,0,1
99,6-Aminocaproic Acid,287.5,Thrombocytopenia NOS,1,0,1
99,6-Aminocaproic Acid,289.9,Blood disease NOS,1,0,1
99,6-Aminocaproic Acid,36.1,Bypass anastomosis for heart revascularization,1,0,0
99,6-Aminocaproic Acid,36.1,AORTOCORONARY BYPASS NOS,1,0,0
99,6-Aminocaproic Acid,50,Operations on liver,1,0,0
99,6-Aminocaproic Acid,537.9,Unspecified disorder of stomach and duodenum,1,0,1
99,6-Aminocaproic Acid,55,Operations on kidney,1,0,0
99,6-Aminocaproic Acid,571.5,Cirrhosis of liver without mention of alcohol,1,0,1
99,6-Aminocaproic Acid,580-629.99,,1,0,1
99,6-Aminocaproic Acid,599.7,Hematuria,1,0,1
99,6-Aminocaproic Acid,599.7,Hematuria; unspecified,1,0,1
99,6-Aminocaproic Acid,599.9,Unspecified disorder of urethra and urinary tract,1,0,1
99,6-Aminocaproic Acid,602.9,Disorder of prostate NOS,1,0,1
99,6-Aminocaproic Acid,785.5,Shock NOS,1,0,1
99,6-Aminocaproic Acid,790.99,Other nonspecific findings on examination of blood,1,0,1
99,6-Aminocaproic Acid,791.9,Other nonspecific findings on examination of urine,1,0,1
99,6-Aminocaproic Acid,796.4,Other abnormal clinical findings,1,0,0
99,6-Aminocaproic Acid,799.01,Asphyxia,1,0,1
99,6-Aminocaproic Acid,959.9,Other and unspecified injury to unspecified site,1,0,0
99,6-Aminocaproic Acid,998.11,Hemorrhage complicating a procedure,1,0,0
99,6-Aminocaproic Acid,185,Malignant neoplasm of prostate,2,1,1
99,6-Aminocaproic Acid,459,Hemorrhage NOS,4,1,1
99,6-Aminocaproic Acid,641.2,Premature separation of placenta,2,1,1
99,6-Aminocaproic Acid,641.2,Premature separation of placenta; unspecified as to episode of care,2,1,1
103,mercaptopurine,140-239.99,,1,0,1
103,mercaptopurine,199,Malignant neoplasm without specification of site,1,0,1
103,mercaptopurine,199.1,Other malignant neoplasm of unspecified site,1,0,1
103,mercaptopurine,201,Hodgkin's disease,1,0,1
103,mercaptopurine,201,Hodgkin's paragranuloma,1,0,1
103,mercaptopurine,201.1,Hodgkin's granuloma,1,0,1
103,mercaptopurine,201.1,Hodgkin's granuloma; unspecified site; extranodal and solid organ sites,1,0,1
103,mercaptopurine,201.2,Hodgkin's sarcoma,1,0,1
103,mercaptopurine,201.2,Hodgkin's sarcoma; unspecified site; extranodal and solid organ sites,1,0,1
103,mercaptopurine,201.9,Hodgkin's disease; unspecified type,1,0,1
103,mercaptopurine,201.9,Hodgkin's disease; unspecified type; unspecified site; extranodal and solid organ sites,1,0,1
103,mercaptopurine,204,Lymphoid leukemia,1,0,1
103,mercaptopurine,204.9,Unspecified lymphoid leukemia,1,0,1
103,mercaptopurine,204.9,Unspecified lymphoid leukemia without mention of having achieved remission,1,0,1
103,mercaptopurine,205,Myeloid leukemia,1,0,1
103,mercaptopurine,205,Myeloid leukemia; acute,1,0,1
103,mercaptopurine,205,Acute myeloid leukemia without mention of having achieved remission,1,0,1
103,mercaptopurine,205.1,Myeloid leukemia; chronic,1,0,1
103,mercaptopurine,205.1,Chronic myeloid leukemia without mention of having achieved remission,1,0,1
103,mercaptopurine,205.9,Unspecified myeloid leukemia,1,0,1
103,mercaptopurine,205.9,Unspecified myeloid leukemia without mention of having achieved remission,1,0,1
103,mercaptopurine,208,Leukemia of unspecified cell type; acute,1,0,1
103,mercaptopurine,208,Acute leukemia of unspecified cell type without mention of having achieved remission,1,0,1
103,mercaptopurine,238.4,Polycythemia vera,1,0,0
103,mercaptopurine,239,Neoplasms of unspecified nature,1,0,1
103,mercaptopurine,239-239.99,,1,0,1
103,mercaptopurine,338-338.99,,1,0,0
103,mercaptopurine,558.9,Other and unspecified noninfectious gastroenteritis and colitis,1,0,0
103,mercaptopurine,696,Psoriatic arthropathy,1,0,0
103,mercaptopurine,709.9,Unspecified disorder of skin and subcutaneous tissue,1,0,0
103,mercaptopurine,780.6,Fever; unspecified,1,0,0
103,mercaptopurine,780.96,Generalized pain,1,0,0
103,mercaptopurine,783.21,Loss of weight,1,0,0
103,mercaptopurine,783.9,Other symptoms concerning nutrition; metabolism; and development,1,0,0
103,mercaptopurine,787.7,Abnormal feces,1,0,0
103,mercaptopurine,787.91,Diarrhea,1,0,0
103,mercaptopurine,995.3,Allergy unspecified not elsewhere classified,1,0,1
103,mercaptopurine,202.8,Other malignant lymphomas; unspecified site; extranodal and solid organ sites,3,1,1
103,mercaptopurine,204,Lymphoid leukemia; acute,2,1,1
103,mercaptopurine,204,Acute lymphoid leukemia without mention of having achieved remission,3,1,1
103,mercaptopurine,204.1,Lymphoid leukemia; chronic,2,1,1
103,mercaptopurine,204.1,Chronic lymphoid leukemia without mention of having achieved remission,2,1,1
103,mercaptopurine,208,Leukemia of unspecified cell type,2,1,1
103,mercaptopurine,208.9,Unspecified leukemia,2,1,1
103,mercaptopurine,208.9,Unspecified leukemia without mention of having achieved remission,2,1,1
103,mercaptopurine,555.9,Regional enteritis of unspecified site,2,1,0
103,mercaptopurine,556,Ulcerative colitis,2,1,0
103,mercaptopurine,556.8,Other ulcerative colitis,2,1,0
103,mercaptopurine,556.9,Ulcerative colitis; unspecified,2,1,0
110,Oxyquinoline,686.9,Unspecified local infection of skin and subcutaneous tissue,1,1,0
149,Acebutolol,253.5,Diabetes insipidus,1,0,0
149,Acebutolol,276.69,Other fluid overload,1,0,0
149,Acebutolol,276.9,Electrolyte and fluid disorders not elsewhere classified,1,0,0
149,Acebutolol,301.9,Personality disorder NOS,1,0,1
149,Acebutolol,410-414.99,,1,0,1
149,Acebutolol,410.8,Acute myocardial infarction; of other specified sites; episode of care unspecified,1,0,0
149,Acebutolol,414.8,Other specified forms of chronic ischemic heart disease,1,0,1
149,Acebutolol,414.9,Chronic ischemic heart disease; unspecified,1,0,1
149,Acebutolol,427.6,Premature beats,1,0,1
149,Acebutolol,427.6,Premature beats NOS,1,0,1
149,Acebutolol,427.69,Other premature beats,1,0,1
149,Acebutolol,458,Hypotension,1,0,0
149,Acebutolol,458.9,Hypotension NOS,1,0,0
149,Acebutolol,496,Chronic airway obstruction; not elsewhere classified,1,0,0
149,Acebutolol,571.5,Cirrhosis of liver without mention of alcohol,1,0,0
149,Acebutolol,592,Calculus of kidney,1,0,0
149,Acebutolol,593.9,Unspecified disorder of kidney and ureter,1,0,0
149,Acebutolol,786.5,Chest pain,1,0,0
149,Acebutolol,796.4,Other abnormal clinical findings,1,0,0
149,Acebutolol,401-405.99,,4,1,1
149,Acebutolol,401.9,Hypertension NOS,4,1,1
149,Acebutolol,410.9,Acute myocardial infarction; unspecified site; episode of care unspecified,1,1,0
149,Acebutolol,413,Angina pectoris,3,1,1
149,Acebutolol,413.9,Other and unspecified angina pectoris,3,1,1
149,Acebutolol,427,Cardiac dysrhythmias,2,1,1
149,Acebutolol,427.1,Paroxysmal ventricular tachycardia,1,1,0
149,Acebutolol,427.41,Ventricular fibrillation,1,1,0
149,Acebutolol,427.89,Other specified cardiac dysrhythmias,2,1,1
149,Acebutolol,427.9,Cardiac dysrhythmia NOS,3,1,1
149,Acebutolol,429.9,Heart disease NOS,2,1,1
149,Acebutolol,786.5,Unspecified chest pain,3,1,1
149,Acebutolol,997.91,Hypertension,4,1,1
154,Acenocoumarol,V22.2,Pregnant state; incidental,1,0,0
161,Acetaminophen,41,Unspecified Streptococcus infection in conditions classified elsewhere and of unspecified site,1,0,0
161,Acetaminophen,136.9,Unspecified infectious and parasitic diseases,1,0,0
161,Acetaminophen,200.2,Burkitt's tumor or lymphoma,1,0,0
161,Acetaminophen,200.2,Burkitt's tumor or lymphoma; unspecified site; extranodal and solid organ sites,1,0,0
161,Acetaminophen,250,Diabetes mellitus,1,0,0
161,Acetaminophen,250,type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type; not stated as uncontrolled; without mention of complication,1,0,0
161,Acetaminophen,274,Gouty arthropathy,1,0,0
161,Acetaminophen,274,Gouty arthropathy (ADDED),1,0,0
161,Acetaminophen,274.9,Gout NOS,1,0,0
161,Acetaminophen,277,Cystic fibrosis,1,0,0
161,Acetaminophen,277,Cystic fibrosis without mention of meconium ileus,1,0,0
161,Acetaminophen,288.2,Genetic anomalies of leukocytes,1,0,0
161,Acetaminophen,300,Anxiety state unspecified,1,0,0
161,Acetaminophen,301.3,Explosive personality disorder,1,0,0
161,Acetaminophen,302.89,Other specified psychosexual disorders,1,0,0
161,Acetaminophen,305,Alcohol abuse; unspecified drinking behavior,1,0,0
161,Acetaminophen,307.42,Persistent disorder of initiating or maintaining sleep,1,0,0
161,Acetaminophen,307.81,Tension headache,1,0,0
161,Acetaminophen,307.9,Other and unspecified special symptoms or syndromes; not elsewhere classified,1,0,0
161,Acetaminophen,309.83,Adjustment reaction with withdrawal,1,0,0
161,Acetaminophen,331,Alzheimer's disease,1,0,0
161,Acetaminophen,332,Paralysis agitans,1,0,0
161,Acetaminophen,333.9,Unspecified extrapyramidal disease and abnormal movement disorder,1,0,0
161,Acetaminophen,338.1,Acute pain,1,0,0
161,Acetaminophen,338.2,Chronic pain,1,0,0
161,Acetaminophen,338.29,Other chronic pain,1,0,0
161,Acetaminophen,339.1,Tension type headache,1,0,0
161,Acetaminophen,339.1,Tension headache NOS,1,0,0
161,Acetaminophen,349.9,Unspecified disorders of nervous system,1,0,0
161,Acetaminophen,355.1,Meralgia paresthetica,1,0,0
161,Acetaminophen,359.1,Hereditary progressive muscular dystrophy,1,0,0
161,Acetaminophen,359.29,Other specified myotonic disorder,1,0,0
161,Acetaminophen,372.14,Other chronic allergic conjunctivitis,1,0,0
161,Acetaminophen,375.2,Epiphora,1,0,0
161,Acetaminophen,375.2,Epiphora NOS,1,0,0
161,Acetaminophen,379.99,Other ill-defined disorders of eye,1,0,0
161,Acetaminophen,388.7,Otalgia,1,0,0
161,Acetaminophen,388.7,Otalgia NOS,1,0,0
161,Acetaminophen,390,Rheumatic fever without mention of heart involvement,1,0,0
161,Acetaminophen,390-392.99,,1,0,0
161,Acetaminophen,410.9,Acute myocardial infarction; unspecified site; episode of care unspecified,1,0,0
161,Acetaminophen,412,Old myocardial infarction,1,0,0
161,Acetaminophen,413,Angina pectoris,1,0,0
161,Acetaminophen,413.9,Other and unspecified angina pectoris,1,0,0
161,Acetaminophen,434.91,Cerebral artery occlusion; unspecified; with cerebral infarction,1,0,0
161,Acetaminophen,446.1,Acute febrile mucocutaneous lymph node syndrome [MCLS],1,0,0
161,Acetaminophen,477,Allergic rhinitis due to pollen,1,0,0
161,Acetaminophen,477.9,Allergic rhinitis NOS,1,0,0
161,Acetaminophen,478.19,Other diseases of nasal cavity and sinuses,1,0,0
161,Acetaminophen,478.29,Other diseases of pharynx or nasopharynx,1,0,0
161,Acetaminophen,493,Asthma,1,0,0
161,Acetaminophen,493,Extrinsic asthma without mention of status asthmaticus,1,0,0
161,Acetaminophen,493.9,Asthma; unspecified,1,0,0
161,Acetaminophen,493.9,Asthma; unspecified type; without mention of status asthmaticus,1,0,0
161,Acetaminophen,514,Pulmonary congestion and hypostasis,1,0,0
161,Acetaminophen,518.89,Other diseases of lung; not elsewhere classified,1,0,0
161,Acetaminophen,530.81,Esophageal reflux,1,0,0
161,Acetaminophen,586,Renal failure unspecified,1,0,0
161,Acetaminophen,696,Psoriatic arthropathy,1,0,0
161,Acetaminophen,698.9,Unspecified pruritic disorder,1,0,0
161,Acetaminophen,708,Urticaria,1,0,0
161,Acetaminophen,708.9,Unspecified urticaria,1,0,0
161,Acetaminophen,709.9,Unspecified disorder of skin and subcutaneous tissue,1,0,0
161,Acetaminophen,710,Systemic lupus erythematosus,1,0,0
161,Acetaminophen,714,Rheumatoid arthritis,1,0,0
161,Acetaminophen,715.96,Osteoarthrosis; unspecified whether generalized or localized; involving lower leg,1,0,0
161,Acetaminophen,719.4,Pain in joint,1,0,0
161,Acetaminophen,719.4,Pain in joint site unspecified,1,0,0
161,Acetaminophen,719.5,Stiffness of joint; not elsewhere classified; involving unspecified site,1,0,0
161,Acetaminophen,720,Ankylosing spondylitis,1,0,0
161,Acetaminophen,729.82,Cramp of limb,1,0,1
161,Acetaminophen,729.9,Other and unspecified disorders of soft tissue,1,0,0
161,Acetaminophen,729.99,Other disorders of soft tissue,1,0,0
161,Acetaminophen,780-789.99,,1,0,0
161,Acetaminophen,780.09,Other alteration of consciousness,1,0,0
161,Acetaminophen,780.2,Syncope and collapse,1,0,0
161,Acetaminophen,780.39,Other convulsions,1,0,0
161,Acetaminophen,780.52,Insomnia; unspecified,1,0,0
161,Acetaminophen,780.57,Unspecified sleep apnea,1,0,0
161,Acetaminophen,780.79,Other malaise and fatigue,1,0,0
161,Acetaminophen,781,Abnormal involuntary movements,1,0,0
161,Acetaminophen,782.3,Edema,1,0,0
161,Acetaminophen,783,Anorexia,1,0,0
161,Acetaminophen,784.1,Throat pain,1,0,1
161,Acetaminophen,786,Respiratory abnormality; unspecified,1,0,0
161,Acetaminophen,786.5,Chest pain,1,0,0
161,Acetaminophen,786.5,Unspecified chest pain,1,0,0
161,Acetaminophen,787.03,Vomiting alone,1,0,0
161,Acetaminophen,789,Abdominal pain,1,0,0
161,Acetaminophen,789,Abdominal pain; unspecified site,1,0,0
161,Acetaminophen,796.4,Other abnormal clinical findings,1,0,0
161,Acetaminophen,797,Senility without mention of psychosis,1,0,0
161,Acetaminophen,798,Sudden infant death syndrome,1,0,0
161,Acetaminophen,799.89,Other ill-defined conditions,1,0,0
161,Acetaminophen,86.82,Facial rhytidectomy,1,0,0
161,Acetaminophen,862.22,Injury to esophagus without mention of open wound into cavity,1,0,0
161,Acetaminophen,89.8,Autopsy,1,0,0
161,Acetaminophen,959.9,Other and unspecified injury to unspecified site,1,0,0
161,Acetaminophen,994.6,Motion sickness,1,0,0
161,Acetaminophen,995,Other anaphylactic reaction,1,0,0
161,Acetaminophen,995.2,Unspecified adverse effect of unspecified drug; medicinal and biological substance,1,0,0
161,Acetaminophen,999.9,Other and unspecified complications of medical care; not elsewhere classified,1,0,0
161,Acetaminophen,E968.9,ASSAULT NOS,1,0,0
161,Acetaminophen,V22.2,Pregnant state; incidental,1,0,0
161,Acetaminophen,V58.1,Encounter for antineoplastic chemotherapy and immunotherapy,1,0,0
161,Acetaminophen,V60.2,Inadequate material resources,1,0,0
161,Acetaminophen,338-338.99,,4,1,1
161,Acetaminophen,346,Migraine,2,1,0
161,Acetaminophen,346.9,Migraine; unspecified,2,1,0
161,Acetaminophen,346.9,Migraine; unspecified; without mention of intractable migraine without mention of status migrainosus,2,1,0
161,Acetaminophen,460,Acute nasopharyngitis (common cold),3,1,1
161,Acetaminophen,462,Acute pharyngitis,2,1,1
161,Acetaminophen,487,Influenza,3,1,1
161,Acetaminophen,487.1,Influenza with other respiratory manifestations,3,1,1
161,Acetaminophen,525.9,Dental disorder NOS,2,1,1
161,Acetaminophen,536.8,Dyspepsia and other specified disorders of function of stomach,2,1,0
161,Acetaminophen,625.3,Dysmenorrhea,2,1,1
161,Acetaminophen,715,Osteoarthrosis; generalized; involving unspecified site,2,1,0
161,Acetaminophen,715.9,Osteoarthrosis; unspecified whether generalized or localized,2,1,0
161,Acetaminophen,715.9,Osteoarthrosis; unspecified whether generalized or localized; involving unspecified site,2,1,0
161,Acetaminophen,716.9,Arthropathy; unspecified; site unspecified,3,1,1
161,Acetaminophen,724.1,Pain in thoracic spine,2,1,1
161,Acetaminophen,724.5,Backache unspecified,2,1,1
161,Acetaminophen,729.1,Myalgia and myositis unspecified,2,1,1
161,Acetaminophen,780.6,Fever; unspecified,4,1,1
161,Acetaminophen,780.96,Generalized pain,4,1,1
161,Acetaminophen,780.99,Other general symptoms,2,1,0
161,Acetaminophen,781.99,Other symptoms involving nervous and musculoskeletal systems,2,1,0
161,Acetaminophen,784,Headache,3,1,1
161,Acetaminophen,786.2,Cough,2,1,0
161,Acetaminophen,787.02,Nausea alone,2,1,0
161,Acetaminophen,787.1,Heartburn,2,1,0
161,Acetaminophen,995.3,Allergy unspecified not elsewhere classified,2,1,0
164,Acetate,200.2,Burkitt's tumor or lymphoma,1,0,0
164,Acetate,200.2,Burkitt's tumor or lymphoma; unspecified site; extranodal and solid organ sites,1,0,0
164,Acetate,298.9,Unspecified psychosis,1,0,0
164,Acetate,305,Alcohol abuse; unspecified drinking behavior,1,0,0
164,Acetate,780.79,Other malaise and fatigue,1,0,0
164,Acetate,784,Headache,1,0,0
164,Acetate,796.4,Other abnormal clinical findings,1,0,0
164,Acetate,99.27,Iontophoresis,1,0,0
167,Acetazolamide,270,Disturbances of amino-acid transport,1,0,0
167,Acetazolamide,276.2,Acidosis,1,0,0
167,Acetazolamide,276.3,Alkalosis,1,0,0
167,Acetazolamide,331.4,Obstructive hydrocephalus,1,0,0
167,Acetazolamide,345.1,Generalized convulsive epilepsy; without mention of intractable epilepsy,1,0,0
167,Acetazolamide,348.2,Benign intracranial hypertension,1,0,0
167,Acetazolamide,348.82,Brain death,1,0,0
167,Acetazolamide,359.3,Periodic paralysis,1,0,0
167,Acetazolamide,365.6,Glaucoma associated with unspecified ocular disorder,1,0,1
167,Acetazolamide,428,Heart failure,1,0,1
167,Acetazolamide,428.9,Heart failure unspecified,1,0,1
167,Acetazolamide,536.8,Dyspepsia and other specified disorders of function of stomach,1,0,0
167,Acetazolamide,759.82,Marfan syndrome,1,0,0
167,Acetazolamide,780-789.99,,1,0,0
167,Acetazolamide,780.57,Unspecified sleep apnea,1,0,0
167,Acetazolamide,781.3,Lack of coordination,1,0,0
167,Acetazolamide,784,Headache,1,0,0
167,Acetazolamide,786.01,Hyperventilation,1,0,0
167,Acetazolamide,786.05,Shortness of breath,1,0,0
167,Acetazolamide,786.09,Other dyspnea and respiratory abnormality,1,0,0
167,Acetazolamide,788.42,Polyuria,1,0,0
167,Acetazolamide,796.4,Other abnormal clinical findings,1,0,0
167,Acetazolamide,799.9,Other unknown and unspecified cause of morbidity or mortality,1,0,0
167,Acetazolamide,92,Nuclear medicine,1,0,0
167,Acetazolamide,977.9,Poisoning by unspecified drug or medicinal substance,1,0,0
167,Acetazolamide,V62.81,Interpersonal problems; not elsewhere classified,1,0,0
167,Acetazolamide,345,Generalized nonconvulsive epilepsy; without mention of intractable epilepsy,2,1,1
167,Acetazolamide,345.9,Epilepsy; unspecified,3,1,1
167,Acetazolamide,345.9,Epilepsy; unspecified; without mention of intractable epilepsy,3,1,1
167,Acetazolamide,365,Glaucoma,4,1,1
167,Acetazolamide,365.9,Glaucoma NOS,4,1,1
167,Acetazolamide,428,Congestive heart failure (CHF) NOS,2,1,1
167,Acetazolamide,780.39,Other convulsions,4,1,1
167,Acetazolamide,782.3,Edema,3,1,1
